smiles	MOL_ID	INCHI_Key	MWT	nHeavy	nHBA	nHBD	nRB	Fsp3	nChiC	nRings	nArRings	TPSA	Halogen	logP	logD	QED	SFI	SAScore
Cn1cc(Br)c[n+]1C	mol_ID_124	PVCMMUAMPCOQDW-UHFFFAOYSA-N	174.99	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.61	-0.13	0.51	0.87	4.05
C#Cc1cn(C)[n+](C)c1	mol_ID_125	XMZORIHGFAUARA-UHFFFAOYSA-N	121.08	9.00	1.00	0.00	0.00	0.29	0.00	1.00	1.00	8.81	0.00	-0.17	-0.91	0.33	0.09	4.25
C=Cc1c[n+](C)ccn1	mol_ID_126	REJIEFIUUPPGDW-UHFFFAOYSA-N	121.08	9.00	1.00	0.00	1.00	0.14	0.00	1.00	1.00	16.77	0.00	0.55	-0.19	0.50	0.81	3.75
Cc1o[n+](C)c(C)c1I	mol_ID_127	GCRNFVDWOLZIPL-UHFFFAOYSA-N	237.97	9.00	1.00	0.00	0.00	0.50	0.00	1.00	1.00	17.02	1.00	1.33	0.59	0.49	1.59	4.16
C#CCn1cc[n+](C)c1	mol_ID_128	VCRLSCAIZHMSMU-UHFFFAOYSA-N	121.08	9.00	1.00	0.00	1.00	0.29	0.00	1.00	1.00	8.81	0.00	-0.05	-0.79	0.36	0.21	3.76
C[n+]1ccsc1C#N	mol_ID_129	NBKMUZOBSVVBTA-UHFFFAOYSA-N	125.02	8.00	2.00	0.00	0.00	0.20	0.00	1.00	1.00	27.67	0.00	0.44	-0.30	0.46	0.70	4.25
C[n+]1csc(Br)c1	mol_ID_130	HWVNJCFSKXBPLK-UHFFFAOYSA-N	177.93	7.00	1.00	0.00	0.00	0.25	0.00	1.00	1.00	3.88	1.00	1.34	0.60	0.53	1.60	4.20
Cn1cc(Cl)c[n+]1C	mol_ID_131	SZSSZCNINLAHSY-UHFFFAOYSA-N	131.04	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.50	-0.24	0.45	0.76	4.02
Cn1cc(C#N)c[n+]1C	mol_ID_132	CJABVDUEGRKDOS-UHFFFAOYSA-N	122.07	9.00	2.00	0.00	0.00	0.33	0.00	1.00	1.00	32.60	0.00	-0.28	-1.02	0.44	-0.02	3.96
C[n+]1ccc(Cl)cc1	mol_ID_133	FRGLQFSDULVWTK-UHFFFAOYSA-N	128.03	8.00	0.00	0.00	0.00	0.17	0.00	1.00	1.00	3.88	1.00	1.16	0.42	0.46	1.42	2.77
C#Cc1cnc[n+](C)c1	mol_ID_134	UHCJSJXZTFABSU-UHFFFAOYSA-N	119.06	9.00	1.00	0.00	0.00	0.14	0.00	1.00	1.00	16.77	0.00	-0.11	-0.85	0.34	0.15	4.05
C[n+]1ccc(Cl)nc1	mol_ID_135	KMIPCBIJDOEGBW-UHFFFAOYSA-N	129.02	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.56	-0.18	0.37	0.82	3.47
C[n+]1cccnc1I	mol_ID_136	ZSYCSGAWGTXHNT-UHFFFAOYSA-N	220.96	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.51	-0.23	0.35	0.77	3.73
Cn1cc[n+](C)c1I	mol_ID_137	MGRIYEROULYODG-UHFFFAOYSA-N	222.97	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.45	-0.29	0.45	0.71	3.95
Cn1cc(Cl)[n+](C)c1	mol_ID_138	XUACABVGYOKXQI-UHFFFAOYSA-N	131.04	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.50	-0.24	0.45	0.76	4.09
C[n+]1ccsc1Br	mol_ID_139	KEFUDFMHQALCMK-UHFFFAOYSA-N	177.93	7.00	1.00	0.00	0.00	0.25	0.00	1.00	1.00	3.88	1.00	1.34	0.60	0.53	1.60	4.14
C[n+]1cccnc1Br	mol_ID_140	DPKKJSJVHMIUKO-UHFFFAOYSA-N	172.97	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.67	-0.07	0.42	0.93	3.62
C=C[N@@+]1(C)C=C[N+](C)=C1	mol_ID_141	QAUSHIQXFVQJQA-VIFPVBQESA-N	124.10	9.00	0.00	0.00	1.00	0.29	1.00	1.00	0.00	3.01	0.00	0.73	-0.01	0.36	-0.01	5.86
C[n+]1ccccc1I	mol_ID_142	WTBMMENXWDHRKE-UHFFFAOYSA-N	219.96	8.00	0.00	0.00	0.00	0.17	0.00	1.00	1.00	3.88	1.00	1.12	0.38	0.35	1.38	3.37
C[n+]1cncc(I)c1	mol_ID_143	XTDXNOKSMWTDMK-UHFFFAOYSA-N	220.96	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.51	-0.23	0.46	0.77	4.14
C#CCn1ccc[n+]1C	mol_ID_144	BTDXKGYEXJXKNN-UHFFFAOYSA-N	121.08	9.00	1.00	0.00	1.00	0.29	0.00	1.00	1.00	8.81	0.00	-0.05	-0.79	0.36	0.21	4.23
N#Cc1ccc2ncsc2c1	mol_ID_145	WYRRTJKOMZONQO-UHFFFAOYSA-N	160.01	11.00	3.00	0.00	0.00	0.00	0.00	2.00	2.00	36.68	0.00	2.17	1.43	0.59	3.43	2.34
c1ccc2[nH]ccc2c1	mol_ID_146	SIKJAQJRHWYJAI-UHFFFAOYSA-N	117.06	9.00	0.00	1.00	0.00	0.00	0.00	2.00	2.00	15.79	0.00	2.17	1.43	0.54	3.43	1.74
N[C@H]1CCc2ccccc21	mol_ID_147	XJEVHMGJSYVQBQ-VIFPVBQESA-N	133.09	10.00	1.00	1.00	0.00	0.33	1.00	2.00	1.00	26.02	0.00	1.63	0.89	0.57	1.89	2.35
Cc1cc2ccccc2nc1N	mol_ID_148	NCZOVCDTUUZEEA-UHFFFAOYSA-N	158.08	12.00	2.00	1.00	0.00	0.10	0.00	2.00	2.00	38.91	0.00	2.13	1.39	0.64	3.39	1.80
Nc1ccc(SC(F)F)cc1	mol_ID_151	ODJCIHKBMUREOC-UHFFFAOYSA-N	175.03	11.00	2.00	1.00	2.00	0.14	0.00	1.00	1.00	26.02	2.00	2.58	1.84	0.55	2.84	2.13
COc1ccc(C2=CCNCC2)cc1	mol_ID_154	XWENGDIACIBQQL-UHFFFAOYSA-N	189.12	14.00	2.00	1.00	2.00	0.33	0.00	2.00	1.00	21.26	0.00	2.07	1.33	0.77	2.33	2.12
O=C(O)c1ccc(CN2CCOCC2)cc1	mol_ID_155	QYBXZYYECZFQRX-UHFFFAOYSA-N	221.11	16.00	3.00	1.00	3.00	0.42	0.00	2.00	1.00	49.77	0.00	1.22	0.48	0.83	1.48	1.58
c1cnc2cccnc2c1	mol_ID_156	VMLKTERJLVWEJJ-UHFFFAOYSA-N	130.05	10.00	2.00	0.00	0.00	0.00	0.00	2.00	2.00	25.78	0.00	1.63	0.89	0.54	2.89	1.61
O=C1CNCCN1c1ccccc1	mol_ID_157	YWUNGYFXNDOGNZ-UHFFFAOYSA-N	176.09	13.00	2.00	1.00	1.00	0.30	0.00	2.00	1.00	32.34	0.00	0.62	-0.12	0.68	0.88	1.91
c1ccc(-c2ccncc2)cc1	mol_ID_158	JVZRCNQLWOELDU-UHFFFAOYSA-N	155.07	12.00	1.00	0.00	1.00	0.00	0.00	2.00	2.00	12.89	0.00	2.75	2.01	0.62	4.01	1.33
O=C1NC(=O)/C(=C\c2cccs2)N1	mol_ID_160	NKNQLJMAPSUXLZ-GQCTYLIASA-N	194.01	13.00	3.00	2.00	1.00	0.00	0.00	2.00	1.00	58.20	0.00	0.93	0.19	0.52	1.19	2.62
N#C[C@H]1CCS(=O)(=O)C1	mol_ID_161	CHNZCZASRHSRAC-RXMQYKEDSA-N	145.02	9.00	3.00	0.00	0.00	0.80	1.00	1.00	0.00	57.93	0.00	-0.06	-0.80	0.48	-0.80	3.74
Cn1c(CO)nc2ccccc21	mol_ID_162	SQRSIOZFPSFABI-UHFFFAOYSA-N	162.08	12.00	3.00	1.00	1.00	0.22	0.00	2.00	2.00	38.05	0.00	1.07	0.33	0.68	2.33	1.89
c1cnc2ncccc2c1	mol_ID_164	FLBAYUMRQUHISI-UHFFFAOYSA-N	130.05	10.00	2.00	0.00	0.00	0.00	0.00	2.00	2.00	25.78	0.00	1.63	0.89	0.54	2.89	1.90
O=C(c1ccccc1F)N1CCNCC1	mol_ID_165	YUOYYPWFXYRVHK-UHFFFAOYSA-N	208.10	15.00	2.00	1.00	1.00	0.36	0.00	2.00	1.00	32.34	1.00	0.87	0.13	0.74	1.13	1.79
NC(c1ccccc1)c1ccccc1	mol_ID_166	MGHPNCMVUAKAIE-UHFFFAOYSA-N	183.10	14.00	1.00	1.00	2.00	0.08	0.00	2.00	2.00	26.02	0.00	2.73	1.99	0.76	3.99	1.44
C[C@H]1C(=O)NC(=O)N1c1ccc(Cl)cc1	mol_ID_168	YRTFBBSKIRZNAW-LURJTMIESA-N	224.04	15.00	2.00	1.00	1.00	0.20	1.00	2.00	1.00	49.41	1.00	1.78	1.04	0.74	2.04	2.59
O=C(O)c1cnc(-c2ccccc2)s1	mol_ID_169	LCALUFNLWHYTKX-UHFFFAOYSA-N	205.02	14.00	3.00	1.00	2.00	0.00	0.00	2.00	2.00	50.19	0.00	2.51	1.77	0.82	3.77	1.88
CN(C)c1cc(CN)ccn1	mol_ID_170	FVBLFJODKIHJMW-UHFFFAOYSA-N	151.11	11.00	3.00	1.00	2.00	0.38	0.00	1.00	1.00	42.15	0.00	0.61	-0.13	0.67	0.87	2.22
O=C1NC(=O)[C@]2(CCc3ccccc32)N1	mol_ID_171	CDALGRHRPPTQPM-LLVKDONJSA-N	202.07	15.00	2.00	2.00	0.00	0.27	1.00	3.00	1.00	58.20	0.00	0.67	-0.07	0.61	0.93	3.31
CC(=O)c1ccc2c(c1)CCCN2	mol_ID_172	YFNHWMNECPFUGS-UHFFFAOYSA-N	175.10	13.00	2.00	1.00	1.00	0.36	0.00	2.00	1.00	29.10	0.00	2.25	1.51	0.66	2.51	2.06
c1ccc2c(N3CCNCC3)ccnc2c1	mol_ID_174	CGSWRHKBLLDUHO-UHFFFAOYSA-N	213.13	16.00	3.00	1.00	1.00	0.31	0.00	3.00	2.00	28.16	0.00	1.64	0.90	0.78	2.90	1.95
Cc1cc(C)c2c(=O)[nH]n(C)c2n1	mol_ID_175	XQCLUVVQJMLNAW-UHFFFAOYSA-N	177.09	13.00	3.00	1.00	0.00	0.33	0.00	2.00	2.00	50.68	0.00	0.88	0.14	0.65	2.14	2.63
CCN(CC)c1cccc(C)c1	mol_ID_176	CIPVVROJHKLHJI-UHFFFAOYSA-N	163.14	12.00	1.00	0.00	3.00	0.45	0.00	1.00	1.00	3.24	0.00	2.84	2.10	0.66	3.10	1.68
N#CCCN1CCc2ccccc21	mol_ID_177	TUVNVZQRVAQHKU-UHFFFAOYSA-N	172.10	13.00	2.00	0.00	2.00	0.36	0.00	2.00	1.00	27.03	0.00	1.96	1.22	0.68	2.22	2.10
O=C(NC1CC1)c1ccccc1O	mol_ID_178	UWYBOEZQGCFECQ-UHFFFAOYSA-N	177.08	13.00	2.00	2.00	2.00	0.30	0.00	2.00	1.00	49.33	0.00	1.28	0.54	0.71	1.54	1.56
N[C@H]1c2ccccc2C[C@H]1CO	mol_ID_181	NUYCSMIPFIJMQL-WCBMZHEXSA-N	163.10	12.00	2.00	2.00	1.00	0.40	2.00	2.00	1.00	46.25	0.00	0.85	0.11	0.64	1.11	3.02
O=c1ccc2c([nH]1)CCCC2	mol_ID_182	SGKURJURKCHGJG-UHFFFAOYSA-N	149.08	11.00	1.00	1.00	0.00	0.44	0.00	2.00	1.00	32.86	0.00	1.25	0.51	0.59	1.51	2.38
O=C(CN1CCNCC1)c1ccccc1	mol_ID_184	KTACZRWRTSQVNO-UHFFFAOYSA-N	204.13	15.00	3.00	1.00	3.00	0.42	0.00	2.00	1.00	32.34	0.00	0.77	0.03	0.74	1.03	1.76
Cn1c(N)nc2ccccc21	mol_ID_188	XDFZKQJLNGNJAN-UHFFFAOYSA-N	147.08	11.00	3.00	1.00	0.00	0.12	0.00	2.00	2.00	43.84	0.00	1.16	0.42	0.61	2.42	1.92
O=c1[nH]ncc2c1oc1ccccc12	mol_ID_189	JPYPDSHHTRFKAI-UHFFFAOYSA-N	186.04	14.00	3.00	1.00	0.00	0.00	0.00	3.00	3.00	58.89	0.00	1.67	0.93	0.58	3.93	2.43
O=C(Nc1ccccc1)C1CC1	mol_ID_193	OCHYJSATRBHPLB-UHFFFAOYSA-N	161.08	12.00	1.00	1.00	2.00	0.30	0.00	2.00	1.00	29.10	0.00	2.04	1.30	0.71	2.30	1.22
Cn1nc(C(F)(F)F)cc1O	mol_ID_195	UGVAQFVQIHNCJV-UHFFFAOYSA-N	166.04	11.00	3.00	1.00	0.00	0.40	0.00	1.00	1.00	38.05	3.00	1.14	0.40	0.63	1.40	2.88
CN1N=C(C(F)(F)F)CC1=O	mol_ID_195	SYHYFYSGUQRNRS-UHFFFAOYSA-N	166.04	11.00	2.00	0.00	0.00	0.60	0.00	1.00	0.00	32.67	3.00	0.77	0.03	0.52	0.03	3.24
c1ccc2oc([C@H]3CCCNC3)nc2c1	mol_ID_197	MNJITFGKRQIUJN-VIFPVBQESA-N	202.11	15.00	3.00	1.00	1.00	0.42	1.00	3.00	2.00	38.06	0.00	2.29	1.55	0.77	3.55	2.65
N#Cc1ccc(C(=O)N2CCOCC2)cc1	mol_ID_198	YAKOUCKNNNLXIH-UHFFFAOYSA-N	216.09	16.00	3.00	0.00	1.00	0.33	0.00	2.00	1.00	53.33	0.00	1.03	0.29	0.70	1.29	1.76
Oc1ccccc1N1CCCCC1	mol_ID_199	OXELIFPFCCGAJX-UHFFFAOYSA-N	177.12	13.00	2.00	1.00	1.00	0.45	0.00	2.00	1.00	23.47	0.00	2.38	1.64	0.71	2.64	1.62
c1cnc2c(c1)NCCC2	mol_ID_200	OALXTMWCXNPUKJ-UHFFFAOYSA-N	134.08	10.00	2.00	1.00	0.00	0.38	0.00	2.00	1.00	24.92	0.00	1.44	0.70	0.58	1.70	2.48
O=c1[nH]nc(-c2ccccc2)o1	mol_ID_201	RFJQGIYJJLWZJP-UHFFFAOYSA-N	162.04	12.00	3.00	1.00	1.00	0.00	0.00	2.00	2.00	58.89	0.00	1.03	0.29	0.68	2.29	2.09
O=C1CCN(c2ccncc2)CC1	mol_ID_202	MAXMUBIIZUKOJF-UHFFFAOYSA-N	176.09	13.00	3.00	0.00	1.00	0.40	0.00	2.00	1.00	33.20	0.00	1.25	0.51	0.65	1.51	2.13
O=C1CCC(=O)N(c2ccccc2)N1	mol_ID_203	LVGKXNPVUJDONV-UHFFFAOYSA-N	190.07	14.00	2.00	1.00	1.00	0.20	0.00	2.00	1.00	49.41	0.00	0.84	0.10	0.71	1.10	2.06
Cc1cc(-c2ccccc2)n[nH]1	mol_ID_204	QHRSESMSOJZMCO-UHFFFAOYSA-N	158.08	12.00	1.00	1.00	1.00	0.10	0.00	2.00	2.00	28.68	0.00	2.39	1.65	0.68	3.65	1.75
CS(=O)(=O)c1ccc(OC(F)(F)F)cc1	mol_ID_205	FNXVEILQGNGZNE-UHFFFAOYSA-N	240.01	15.00	3.00	0.00	2.00	0.25	0.00	1.00	1.00	43.37	3.00	1.99	1.25	0.79	2.25	1.79
CC(=O)c1ccc2c(c1)CNCC2	mol_ID_206	KKJBHMRJVQULAV-UHFFFAOYSA-N	175.10	13.00	2.00	1.00	1.00	0.36	0.00	2.00	1.00	29.10	0.00	1.53	0.79	0.66	1.79	2.10
Cc1nccn1Cc1cccc(C#N)c1	mol_ID_209	HMXUYPBDUYSWMA-UHFFFAOYSA-N	197.10	15.00	3.00	0.00	2.00	0.17	0.00	2.00	2.00	41.61	0.00	2.11	1.37	0.74	3.37	2.07
O=C1CCN(c2ccccn2)CC1	mol_ID_210	CSNJUQMJDHNKHI-UHFFFAOYSA-N	176.09	13.00	3.00	0.00	1.00	0.40	0.00	2.00	1.00	33.20	0.00	1.25	0.51	0.65	1.51	2.03
COc1ccccc1CC1CCNCC1	mol_ID_213	YIZXPHILNOGRDP-UHFFFAOYSA-N	205.15	15.00	2.00	1.00	3.00	0.54	0.00	2.00	1.00	21.26	0.00	2.24	1.50	0.82	2.50	1.93
O=C1NC2(CCCC2)Nc2ccccc21	mol_ID_214	BGYVTOPASJGSEB-UHFFFAOYSA-N	202.11	15.00	2.00	2.00	0.00	0.42	0.00	3.00	1.00	41.13	0.00	2.11	1.37	0.68	2.37	2.90
C[C@H]1CCc2sc(C(=O)O)cc2C1	mol_ID_215	AKQCTDMGIZKFRX-LURJTMIESA-N	196.06	13.00	2.00	1.00	1.00	0.50	1.00	2.00	1.00	37.30	0.00	2.57	1.83	0.75	2.83	2.73
C[C@H](CN)N1CCc2sccc2C1	mol_ID_217	MQKOIUAPLLHABT-MRVPVSSYSA-N	196.10	13.00	3.00	1.00	2.00	0.60	1.00	2.00	1.00	29.26	0.00	1.45	0.71	0.78	1.71	3.01
O=C(c1ccccc1)N1CCC(CO)CC1	mol_ID_219	RLTIVBMLQJFUOB-UHFFFAOYSA-N	219.13	16.00	2.00	1.00	2.00	0.46	0.00	2.00	1.00	40.54	0.00	1.53	0.79	0.82	1.79	1.62
COc1ccccc1N1CCNCC1	mol_ID_220	VNZLQLYBRIOLFZ-UHFFFAOYSA-N	192.13	14.00	3.00	1.00	2.00	0.45	0.00	2.00	1.00	24.50	0.00	1.10	0.36	0.76	1.36	1.73
CN1CC(=O)NC1=O	mol_ID_221	RHYBFKMFHLPQPH-UHFFFAOYSA-N	114.04	8.00	2.00	1.00	0.00	0.50	0.00	1.00	0.00	49.41	0.00	-0.83	-1.57	0.42	-1.57	2.65
O=c1[nH]c2c(s1)CCC2	mol_ID_222	MPBAFCASVITYMO-UHFFFAOYSA-N	141.02	9.00	2.00	1.00	0.00	0.50	0.00	2.00	1.00	32.86	0.00	0.93	0.19	0.57	1.19	2.99
O=C(CN1CCCC1)c1ccccc1Cl	mol_ID_223	BDGKBEOKGJRBPL-UHFFFAOYSA-N	223.08	15.00	2.00	0.00	3.00	0.42	0.00	2.00	1.00	20.31	1.00	2.62	1.88	0.73	2.88	1.63
O=C1CSC(Nc2ccc(F)cc2)=N1	mol_ID_224	ABBIJUYBGHHPFV-UHFFFAOYSA-N	210.03	14.00	3.00	1.00	1.00	0.11	0.00	2.00	1.00	41.46	1.00	1.87	1.13	0.77	2.13	2.25
COc1ccccc1C1CCNCC1	mol_ID_225	SRAVSVBVHDLLPO-UHFFFAOYSA-N	191.13	14.00	2.00	1.00	2.00	0.50	0.00	2.00	1.00	21.26	0.00	2.16	1.42	0.77	2.42	1.86
Cc1cc(N)no1	mol_ID_226	FKPXGNGUVSHWQQ-UHFFFAOYSA-N	98.05	7.00	3.00	1.00	0.00	0.25	0.00	1.00	1.00	52.05	0.00	0.57	-0.17	0.52	0.83	2.77
C1=C[C@H]2O[C@@H]1c1ccccc12	mol_ID_227	JWCGDNHAPBZVHD-AOOOYVTPSA-N	144.06	11.00	1.00	0.00	0.00	0.20	2.00	3.00	1.00	9.23	0.00	2.37	1.63	0.51	2.63	4.19
COc1ccc(CN2CCNCC2)cc1F	mol_ID_228	DOHKJEHZIZZYLD-UHFFFAOYSA-N	224.13	16.00	3.00	1.00	3.00	0.50	0.00	2.00	1.00	24.50	1.00	1.24	0.50	0.84	1.50	1.87
Oc1ccc(C2CCNCC2)cc1	mol_ID_229	ZDEWVCFSCQUKTE-UHFFFAOYSA-N	177.12	13.00	2.00	2.00	1.00	0.45	0.00	2.00	1.00	32.26	0.00	1.86	1.12	0.69	2.12	1.97
CCc1nccn1CC(=O)O	mol_ID_231	QIBUBNNYBJRUAV-UHFFFAOYSA-N	154.07	11.00	3.00	1.00	3.00	0.43	0.00	1.00	1.00	55.12	0.00	0.53	-0.21	0.69	0.79	2.24
O=C1CCCc2occc21	mol_ID_232	DXWQOYPYNPSVRL-UHFFFAOYSA-N	136.05	10.00	2.00	0.00	0.00	0.38	0.00	2.00	1.00	30.21	0.00	1.80	1.06	0.54	2.06	2.62
Cc1cnc(C(F)(F)F)cn1	mol_ID_233	XZOKPWSKJRCLQO-UHFFFAOYSA-N	162.04	11.00	2.00	0.00	0.00	0.33	0.00	1.00	1.00	25.78	3.00	1.80	1.06	0.58	2.06	2.38
Fc1ccc(C[C@H]2CCCNC2)cc1	mol_ID_234	WATWKPHWUDHKGA-LLVKDONJSA-N	193.13	14.00	1.00	1.00	2.00	0.50	1.00	2.00	1.00	12.03	1.00	2.37	1.63	0.76	2.63	2.33
CCn1cnc2ccccc21	mol_ID_235	WVNMLOGVAVGQIT-UHFFFAOYSA-N	146.08	11.00	2.00	0.00	1.00	0.22	0.00	2.00	2.00	17.82	0.00	2.06	1.32	0.60	3.32	1.79
O=C(c1ccncc1)N1CCNCC1	mol_ID_236	YLYAETTZHAUHNX-UHFFFAOYSA-N	191.11	14.00	3.00	1.00	1.00	0.40	0.00	2.00	1.00	45.23	0.00	0.13	-0.61	0.69	0.39	1.96
NCC1(c2ccccc2)CCOCC1	mol_ID_237	IPYDNTFWMDEOBW-UHFFFAOYSA-N	191.13	14.00	2.00	1.00	2.00	0.50	0.00	2.00	1.00	35.25	0.00	1.69	0.95	0.77	1.95	2.15
Oc1cnc(-c2ccccc2)nc1	mol_ID_238	VXOJYMHSOARYSV-UHFFFAOYSA-N	172.06	13.00	3.00	1.00	1.00	0.00	0.00	2.00	2.00	46.01	0.00	1.85	1.11	0.71	3.11	1.85
Fc1ccc2c(C3CCNCC3)c[nH]c2c1	mol_ID_240	VNEIHOLJEZRVCL-UHFFFAOYSA-N	218.12	16.00	1.00	2.00	1.00	0.38	0.00	3.00	2.00	27.82	1.00	2.77	2.03	0.76	4.03	2.29
